nome,nivel,inicio,fim,instituicao,pagamento
Carlos Alexandre Barros de Mello, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Carlos Becker Westphall, PQ-1D, 01/03/2018, 28/02/2022, UFSC, Em folha de pagamento
Carlos Eduardo Pereira, PQ-1C, 01/03/2020, 29/02/2024, UFRGS, Em folha de pagamento
Carlos Nascimento Silla Junior, PQ-2, 01/03/2019, 28/02/2022, PUC/PR, Em folha de pagamento
Cecilia Mary Fischer Rubira, PQ-2, 01/03/2018, 31/03/2021, UNICAMP, Em folha de pagamento
Celia Aparecida Zorzo Barcelos, PQ-2, 01/03/2018, 28/02/2021, UFU, Em folha de pagamento
Celia Ghedini Ralha, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
Celina Miraglia Herrera de Figueiredo, PQ-1A, 01/03/2017, 28/02/2022, UFRJ, Em folha de pagamento
Celio Vinicius Neves de Albuquerque, PQ-1D, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Celso da Cruz Carneiro Ribeiro, PQ-1A, 01/03/2016, 28/02/2021, UFF, Em folha de pagamento
Celso Massaki Hirata, PQ-2, 01/03/2019, 28/02/2022, ITA, Em folha de pagamento
Cesar Augusto Fonticielha De Rose, PQ-2, 01/03/2019, 28/02/2022, PUCRS, Em folha de pagamento
Christiane Anneliese Gresse von Wangenheim, PQ-2, 01/03/2020, 28/02/2023, UFSC, Em folha de pagamento
Cid Carvalho de Souza, PQ-1C, 01/03/2019, 28/02/2023, UNICAMP, Suspenso
Clarisse Sieckenius de Souza, PQ-1B, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Claudia Linhares Sales, PQ-1D, 01/03/2018, 28/02/2022, UFC, Em folha de pagamento
Claudia Linhares Sales, PQ-1D, 01/03/2022, 28/02/2023, UFC, Em folha de pagamento
Claudia Maria Bauzer Medeiros, PQ-1A, 01/03/2017, 28/02/2022, UNICAMP, Em folha de pagamento
Claudio Leonardo Lucchesi, PQ-1A, 01/03/2017, 28/02/2022, UNICAMP, Em folha de pagamento
